2026-05-18 16:00:54 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:00:57 | WS         | audio_client_connected | session=2f4050bd
2026-05-18 16:00:57 | ─────────────────────────── SESSION 2f4050bd ───────────────────────────
2026-05-18 16:00:57 | SESSION    | started              | session=2f4050bd
2026-05-18 16:01:01 | WS         | text_input_received  | text=Hello
2026-05-18 16:01:01 | LLM        | turn_start           | session=2f4050bd  query=Hello  history_turns=0
2026-05-18 16:01:01 | WS         | text_input_received  | text=h
2026-05-18 16:01:02 | WS         | text_input_received  | text=h
2026-05-18 16:01:02 | WS         | text_input_received  | text=h
2026-05-18 16:01:02 | LLM        | call1_intent_classified | session=2f4050bd  intent=general  language=en  confidence=0.9  ttft_ms=484
2026-05-18 16:01:02 | LLM        | routed               | session=2f4050bd  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:01:02 | LLM        | call2_first_token    | session=2f4050bd  ttft_ms=625
2026-05-18 16:01:02 | TTS        | first_sentence_synthesis_start | ttfs_ms=640
2026-05-18 16:01:02 | LLM        | turn_complete        | session=2f4050bd  response_preview="Hello, how can I help you today?"
2026-05-18 16:01:02 | LLM        | turn_start           | session=2f4050bd  query=h  history_turns=1
2026-05-18 16:01:02 | LLM        | call1_intent_classified | session=2f4050bd  intent=general  language=unknown  confidence=0.2  ttft_ms=468
2026-05-18 16:01:02 | LLM        | routed               | session=2f4050bd  route_type=clarify  has_direct_response=True  has_context=False
2026-05-18 16:01:02 | LLM        | direct_response      | session=2f4050bd  route_type=clarify  response_preview="I'm sorry, I didn't quite understand that. Could you please "
2026-05-18 16:01:02 | LLM        | turn_start           | session=2f4050bd  query=h  history_turns=2
2026-05-18 16:01:03 | LLM        | call1_intent_classified | session=2f4050bd  intent=general  language=unknown  confidence=0.2  ttft_ms=390
2026-05-18 16:01:03 | LLM        | routed               | session=2f4050bd  route_type=clarify  has_direct_response=True  has_context=False
2026-05-18 16:01:03 | LLM        | direct_response      | session=2f4050bd  route_type=clarify  response_preview="I'm sorry, I didn't quite understand that. Could you please "
2026-05-18 16:01:03 | LLM        | turn_start           | session=2f4050bd  query=h  history_turns=3
2026-05-18 16:01:03 | LLM        | call1_intent_classified | session=2f4050bd  intent=general  language=unknown  confidence=0.2  ttft_ms=406
2026-05-18 16:01:03 | LLM        | routed               | session=2f4050bd  route_type=clarify  has_direct_response=True  has_context=False
2026-05-18 16:01:03 | LLM        | direct_response      | session=2f4050bd  route_type=clarify  response_preview="I'm sorry, I didn't quite understand that. Could you please "
2026-05-18 16:01:06 | TTS        | synthesised          | session=2f4050bd  sentence_index=0  sentence="Hello, how can I help you today?"  wav_kb=109  synth_ms=3577
2026-05-18 16:01:06 | TTS        | first_wav_enqueued   | tts_enqueue_ms=2686
2026-05-18 16:01:06 | AUDIO_OUT  | first_audio_chunk    | session=2f4050bd  ttfa_ms=2702
2026-05-18 16:01:06 | STATE      | listening → speaking | session=2f4050bd
2026-05-18 16:01:06 | TTS        | first_sentence_synthesis_start | ttfs_ms=2702
2026-05-18 16:01:07 | TTS        | synthesised          | session=2f4050bd  sentence_index=0  sentence="I'm sorry,"  wav_kb=70  synth_ms=1781
2026-05-18 16:01:07 | TTS        | first_wav_enqueued   | tts_enqueue_ms=4484
2026-05-18 16:01:09 | TTS        | synthesised          | session=2f4050bd  sentence_index=1  sentence="I didn't quite understand that. Could you please rephrase?"  wav_kb=168  synth_ms=3843
2026-05-18 16:01:09 | TTS        | first_sentence_synthesis_start | ttfs_ms=6577
2026-05-18 16:01:11 | TTS        | synthesised          | session=2f4050bd  sentence_index=0  sentence="I'm sorry,"  wav_kb=70  synth_ms=1656
2026-05-18 16:01:11 | TTS        | first_wav_enqueued   | tts_enqueue_ms=8234
2026-05-18 16:01:13 | WS         | text_input_received  | text=hello
2026-05-18 16:01:13 | WS         | text_input_barge_in  | session=2f4050bd  text=hello
2026-05-18 16:01:13 | LLM        | turn_start           | session=2f4050bd  query=hello  history_turns=4
2026-05-18 16:01:13 | AUDIO_OUT  | interrupt_clear      | session=2f4050bd
2026-05-18 16:01:13 | STATE      | speaking → listening | session=2f4050bd
2026-05-18 16:01:13 | TTS        | synthesised          | session=2f4050bd  sentence_index=1  sentence="I didn't quite understand that. Could you please rephrase?"  wav_kb=168  synth_ms=3422
2026-05-18 16:01:13 | TTS        | first_sentence_synthesis_start | ttfs_ms=140
2026-05-18 16:01:13 | AUDIO_OUT  | first_audio_chunk    | session=2f4050bd  ttfa_ms=155
2026-05-18 16:01:13 | STATE      | listening → speaking | session=2f4050bd
2026-05-18 16:01:13 | LLM        | call1_intent_classified | session=2f4050bd  intent=general  language=en  confidence=0.9  ttft_ms=561
2026-05-18 16:01:13 | LLM        | routed               | session=2f4050bd  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:01:14 | LLM        | call2_first_token    | session=2f4050bd  ttft_ms=1186
2026-05-18 16:01:14 | LLM        | turn_complete        | session=2f4050bd  response_preview="Hello again, is there something I can help you with or would"
2026-05-18 16:01:15 | TTS        | synthesised          | session=2f4050bd  sentence_index=0  sentence="I'm sorry,"  wav_kb=70  synth_ms=1952
2026-05-18 16:01:15 | TTS        | first_wav_enqueued   | tts_enqueue_ms=2093
2026-05-18 16:01:17 | TTS        | synthesised          | session=2f4050bd  sentence_index=1  sentence="I didn't quite understand that. Could you please rephrase?"  wav_kb=168  synth_ms=4077
2026-05-18 16:01:17 | TTS        | first_sentence_synthesis_start | ttfs_ms=4234
2026-05-18 16:01:19 | TTS        | synthesised          | session=2f4050bd  sentence_index=0  sentence="Hello again,"  wav_kb=73  synth_ms=1734
2026-05-18 16:01:19 | TTS        | first_wav_enqueued   | tts_enqueue_ms=5968
2026-05-18 16:01:20 | TTS        | synthesised          | session=2f4050bd  sentence_index=1  sentence="is there something I can help you with or would you like to "  wav_kb=179  synth_ms=2938
2026-05-18 16:01:34 | AUDIO_OUT  | playback_complete    | session=2f4050bd  audio_duration_ms=14100  waited_ms=14405
2026-05-18 16:01:34 | STATE      | speaking → listening | session=2f4050bd
2026-05-18 16:01:53 | STT        | audio_dropped_robo_idle | session=2f4050bd
2026-05-18 16:02:49 | AUDIO_IN   | client_disconnected  | session=2f4050bd
2026-05-18 16:02:49 | AUDIO_IN   | shutting_down_pipeline | session=2f4050bd
2026-05-18 16:02:49 | SESSION    | stopped              | session=2f4050bd
2026-05-18 16:02:49 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:02:49 | SESSION    | stopped              | session=2f4050bd
2026-05-18 16:02:49 | ────────────────────────────────────────────────────────────────────────
2026-05-18 16:02:50 | SERVER     | shutdown             | active_sessions=0
2026-05-18 16:23:26 | SERVER     | ready                | port=8000  stt_model=whisper-large-v3-turbo  llm_model=llama-3.3-70b-versatile
2026-05-18 16:23:27 | WS         | audio_client_connected | session=6a237c2b
2026-05-18 16:23:27 | ─────────────────────────── SESSION 6a237c2b ───────────────────────────
2026-05-18 16:23:27 | SESSION    | started              | session=6a237c2b
2026-05-18 16:23:30 | WS         | text_input_received  | text=Hello
2026-05-18 16:23:30 | LLM        | turn_start           | session=6a237c2b  query=Hello  history_turns=0
2026-05-18 16:23:30 | STATE      | listening → thinking | session=6a237c2b
2026-05-18 16:23:30 | LLM        | call1_intent_classified | session=6a237c2b  intent=general  language=unknown  confidence=0.5  ttft_ms=328
2026-05-18 16:23:30 | LLM        | routed               | session=6a237c2b  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:23:30 | LLM        | call2_first_token    | session=6a237c2b  ttft_ms=515
2026-05-18 16:23:30 | LLM        | turn_complete        | session=6a237c2b  response_preview="I'm having trouble connecting right now. Please try again in"
2026-05-18 16:23:30 | TTS        | first_sentence_synthesis_start | ttfs_ms=531
2026-05-18 16:23:33 | TTS        | synthesised          | session=6a237c2b  sentence_index=1  sentence="Please try again in a moment."  wav_kb=99  synth_ms=2953
2026-05-18 16:23:33 | TTS        | synthesised          | session=6a237c2b  sentence_index=0  sentence="I'm having trouble connecting right now."  wav_kb=126  synth_ms=3000
2026-05-18 16:23:33 | TTS        | first_wav_enqueued   | tts_enqueue_ms=3531
2026-05-18 16:23:33 | AUDIO_OUT  | first_audio_chunk    | session=6a237c2b  ttfa_ms=3531
2026-05-18 16:23:33 | STATE      | thinking → speaking  | session=6a237c2b
2026-05-18 16:23:38 | WS         | text_input_received  | text=Hello
2026-05-18 16:23:38 | WS         | text_input_barge_in  | session=6a237c2b  text=Hello
2026-05-18 16:23:38 | LLM        | turn_start           | session=6a237c2b  query=Hello  history_turns=1
2026-05-18 16:23:38 | STATE      | speaking → thinking  | session=6a237c2b
2026-05-18 16:23:39 | AUDIO_OUT  | interrupt_clear      | session=6a237c2b
2026-05-18 16:23:39 | STATE      | thinking → listening | session=6a237c2b
2026-05-18 16:23:39 | LLM        | call1_intent_classified | session=6a237c2b  intent=general  language=unknown  confidence=0.5  ttft_ms=234
2026-05-18 16:23:39 | LLM        | routed               | session=6a237c2b  route_type=general  has_direct_response=False  has_context=False
2026-05-18 16:23:39 | LLM        | call2_first_token    | session=6a237c2b  ttft_ms=436
2026-05-18 16:23:39 | LLM        | turn_complete        | session=6a237c2b  response_preview="I'm having trouble connecting right now. Please try again in"
2026-05-18 16:23:39 | TTS        | first_sentence_synthesis_start | ttfs_ms=436
2026-05-18 16:23:40 | TTS        | synthesised          | session=6a237c2b  sentence_index=1  sentence="Please try again in a moment."  wav_kb=99  synth_ms=1375
2026-05-18 16:23:40 | TTS        | synthesised          | session=6a237c2b  sentence_index=0  sentence="I'm having trouble connecting right now."  wav_kb=126  synth_ms=1469
2026-05-18 16:23:40 | TTS        | first_wav_enqueued   | tts_enqueue_ms=1906
2026-05-18 16:23:40 | AUDIO_OUT  | first_audio_chunk    | session=6a237c2b  ttfa_ms=1906
2026-05-18 16:23:40 | STATE      | listening → speaking | session=6a237c2b
2026-05-18 16:23:46 | AUDIO_OUT  | playback_complete    | session=6a237c2b  audio_duration_ms=4825  waited_ms=5186
2026-05-18 16:23:46 | STATE      | speaking → listening | session=6a237c2b
